,meter,solar,default_df_cons,nearcasting,weekly,replace_consumptions,merging,uploading,total
88,695, 0:00:01.391277, 0:00:00.026928, 0:00:43.439335, 0:00:47.952287, 0:00:00.507643, 0:00:00.119679, 0:04:23.581542, 0:05:57.018691
89,116, 0:00:01.393271, 0:00:00.023935, 0:00:33.882876, 0:00:16.129862, 0:00:00.459767, 0:00:00.081782, 0:04:31.668471, 0:05:23.639964
90,709, 0:00:01.391279, 0:00:00.024934, 0:00:10.956709, 0:00:07.355321, 0:00:00.438824, 0:00:00.083781, 0:04:29.504344, 0:04:49.755192
91,711, 0:00:01.905902, 0:00:00.019946, 0:01:03.215930, 0:01:16.624544, 0:00:00, 0:00:00.116689, 0:04:26.517782, 0:06:48.400793
92,694, 0:00:01.509959, 0:00:00.024934, 0:00:09.712016, 0:00:25.131781, 0:00:00.414894, 0:00:00.064824, 0:04:26.121661, 0:05:02.981064
93,696, 0:01:26.015454, 0:00:00.024933, 0:00:12.246745, 0:00:46.368931, 0:00:00.458773, 0:00:00.085773, 0:04:11.425932, 0:06:36.626541
94,722, 0:00:01.387288, 0:00:00.024932, 0:00:12.396349, 0:00:12.137560, 0:00:00.532575, 0:00:00.080785, 0:04:11.592929, 0:04:38.154414
95,726, 0:00:01.432242, 0:00:00.027927, 0:00:00.627319, 0:00:00.640288, 0:00:00, 0:00:00.048869, 0:04:17.080989, 0:04:19.858557
96,698, 0:01:44.952294, 0:00:00.025930, 0:00:31.520712, 0:00:19.700321, 0:00:00.529582, 0:00:00.154587, 0:04:19.085581, 0:06:55.969007
97,721, 0:01:04.004844, 0:00:00.025932, 0:00:10.548292, 0:00:13.856438, 0:00:00.672202, 0:00:00.083779, 0:04:14.578097, 0:05:43.769584
98,713, 0:00:01.859026, 0:00:00.027924, 0:00:36.676914, 0:00:21.940329, 0:00:00.499662, 0:00:00.105717, 0:04:14.931866, 0:05:16.041438
